,offense_type_id,offense_category_id,first_occurrence_date,reported_date,incident_address,geo_x,geo_y,geo_lon,geo_lat,district_id,precinct_id,neighborhood_id,is_crime,is_traffic,victim_count
386636,criminal-mischief-mtr-veh,public-disorder,2023-10-02 23:45:00,2023-10-03 11:54:00,1425 N WASHINGTON ST,3146524.0,1694485.0,-104.9789787,39.7390119,6,623,capitol-hill,True,False,1
386625,criminal-mischief-other,public-disorder,2023-10-02 23:30:00,2023-10-03 00:28:00,12525 E ALBROOK DR,3184585.0,1710532.0,-104.8432301,39.7823859,5,521,montbello,True,False,1
386746,burglary-residence-no-force,burglary,2023-10-02 23:17:00,2023-10-03 15:27:00,5564 N JERICHO CT,3211102.0,1716228.0,-104.7487167,39.7974579,5,523,gateway-green-valley-ranch,True,False,1
386670,violation-of-court-order,all-other-crimes,2023-10-02 23:10:00,2023-10-03 00:56:00,6301 W HAMPDEN AVE,3121969.0,1663455.0,-105.0668179,39.6541815,4,423,bear-valley,True,False,1
386637,criminal-mischief-mtr-veh,public-disorder,2023-10-02 23:00:00,2023-10-03 00:10:00,3600 BLK BLAKE ST,3147667.0,1705544.0,-104.974687,39.7693526,2,211,five-points,True,False,1
386835,theft-of-motor-vehicle,auto-theft,2023-10-02 23:00:00,2023-10-03 06:31:00,7100 E MISSISSIPPI AVE,3167163.0,1678018.0,-104.9059737,39.693459,3,322,washington-virginia-vale,True,False,1
386727,threats-to-injure,public-disorder,2023-10-02 23:00:00,2023-10-02 23:35:00,2121 N HIGH ST,3150461.0,1698018.0,-104.9649055,39.7486478,6,622,city-park-west,True,False,1
386632,criminal-mischief-other,public-disorder,2023-10-02 23:00:00,2023-10-03 06:44:00,3320 W 38TH AVE,3131964.0,1705457.0,-105.0305496,39.7693498,1,113,west-highland,True,False,1
386789,theft-items-from-vehicle,theft-from-motor-vehicle,2023-10-02 23:00:00,2023-10-03 12:01:00,1900 BLK N WASHINGTON ST,3146508.0,1697183.0,-104.9789805,39.7464186,6,621,north-capitol-hill,True,False,1
386641,criminal-mischief-mtr-veh,public-disorder,2023-10-02 23:00:00,2023-10-03 09:27:00,4210 N AIRPORT WAY,3198146.0,1707605.0,-104.7950616,39.774072,5,522,gateway-green-valley-ranch,True,False,1
386790,theft-from-bldg,larceny,2023-10-02 22:45:00,2023-10-03 07:04:00,8400 PENA BLVD,3231977.0,1735292.0,-104.6738123,39.8492917,7,759,dia,True,False,1
386787,theft-items-from-vehicle,theft-from-motor-vehicle,2023-10-02 22:43:00,2023-10-02 23:18:00,382 S DECATUR ST,3134337.0,1683704.0,-105.0225148,39.7095998,4,412,athmar-park,True,False,1
386753,theft-shoplift,larceny,2023-10-02 22:40:00,2023-10-03 01:10:00,5602 E COLFAX AVE,3162506.0,1694926.0,-104.9221401,39.7399572,2,222,montclair,True,False,1
386635,criminal-mischief-mtr-veh,public-disorder,2023-10-02 22:30:00,2023-10-03 15:39:00,2520 WEWATTA WAY,3143158.0,1702773.0,-104.9907823,39.7618163,6,612,five-points,True,False,1
386858,theft-of-motor-vehicle,auto-theft,2023-10-02 22:30:00,2023-10-03 07:57:00,2235 E BUCHTEL BLVD,3151652.0,1674232.0,-104.9611717,39.6833311,3,313,university,True,False,1
386837,theft-of-motor-vehicle,auto-theft,2023-10-02 22:15:00,2023-10-03 06:18:00,7100 E MISSISSIPPI AVE,3167163.0,1678018.0,-104.9059737,39.693459,3,322,washington-virginia-vale,True,False,1
386812,theft-other,larceny,2023-10-02 22:15:00,2023-10-02 22:36:00,875 S QUEBEC ST,3167683.0,1680581.0,-104.9040662,39.7004857,3,322,washington-virginia-vale,True,False,1
386834,theft-of-motor-vehicle,auto-theft,2023-10-02 22:00:00,2023-10-03 07:33:00,7540 E 53RD PL,3168580.0,1713664.0,-104.900102,39.7912875,5,511,central-park,True,False,1
386777,theft-items-from-vehicle,theft-from-motor-vehicle,2023-10-02 22:00:00,2023-10-03 19:31:00,8501 E ALAMEDA AVE,3171584.0,1684914.0,-104.8900993,39.7123095,3,321,lowry-field,True,False,1
386848,theft-of-motor-vehicle,auto-theft,2023-10-02 22:00:00,2023-10-03 08:15:00,7540 E 53RD PL,3168580.0,1713664.0,-104.900102,39.7912875,5,511,central-park,True,False,1
386824,theft-of-motor-vehicle,auto-theft,2023-10-02 22:00:00,2023-10-03 07:41:00,1000 BLK N KALAMATH ST,3140705.0,1692201.0,-104.9997146,39.7328317,1,123,lincoln-park,True,False,1
386677,weapon-unlawful-discharge-of,all-other-crimes,2023-10-02 22:00:00,2023-10-02 22:00:00,2209 S ZURICH CT,3125983.0,1671247.0,-105.0524257,39.6755191,4,421,harvey-park,True,False,1
386638,criminal-mischief-mtr-veh,public-disorder,2023-10-02 21:30:00,2023-10-03 10:00:00,1300 BLOCK N IRVING ST,3132244.0,1694111.0,-105.0297625,39.7381991,1,122,west-colfax,True,False,1
386713,aggravated-assault,aggravated-assault,2023-10-02 21:20:00,2023-10-02 21:25:00,1335 W VIRGINIA AVE,3139268.0,1683081.0,-105.0050005,39.7078171,4,412,athmar-park,True,False,1
386850,theft-of-motor-vehicle,auto-theft,2023-10-02 21:16:00,2023-10-02 21:35:00,1300 BLK N ROSLYN ST,3168516.0,1694301.0,-104.9007842,39.7381346,2,223,east-colfax,True,False,1
386689,criminal-trespassing,all-other-crimes,2023-10-02 21:05:00,2023-10-02 21:49:00,2175 CALIFORNIA ST,3144659.0,1698732.0,-104.9855247,39.7506998,6,621,five-points,True,False,1
